,id,Wave,Answer,Repeater,Course,Group,Sex,outlier_type,outlier
477,213.0,b,1,0.0,1,102,0,0,0
981,213.0,c,1,0.0,2,202,0,0,0
1540,213.0,d,1,0.0,2,202,0,0,0
2078,213.0,e,1,0.0,2,202,0,0,0
2752,213.0,f,1,0.0,3,302,0,0,0
3329,213.0,g,1,0.0,3,302,0,0,0
3839,213.0,h,1,0.0,3,302,0,0,0
4468,213.0,i,1,0.0,4,401,0,0,0
4976,213.0,j,1,0.0,4,401,0,0,0
5525,213.0,k,1,0.0,4,401,0,0,0
95,214.0,a,1,0.0,1,102,0,0,0
426,214.0,b,1,0.0,1,102,0,100,1
94,215.0,a,1,0.0,1,102,1,0,0
425,215.0,b,1,0.0,1,102,1,0,0
980,215.0,c,1,0.0,2,202,1,0,0
1522,215.0,d,1,0.0,2,202,1,0,0
2077,215.0,e,1,0.0,2,202,1,0,0
2774,215.0,f,1,0.0,3,302,1,0,0
3330,215.0,g,1,0.0,3,302,1,0,0
3838,215.0,h,1,0.0,3,302,1,0,0
4497,215.0,i,1,0.0,4,402,1,0,0
4968,215.0,j,0,0.0,4,402,1,0,0
5623,215.0,k,1,0.0,4,402,1,0,0
93,216.0,a,1,0.0,1,102,0,0,0
423,216.0,b,1,0.0,1,102,0,0,0
979,216.0,c,1,0.0,2,202,0,0,0
1546,216.0,d,1,0.0,2,202,0,0,0
2076,216.0,e,1,0.0,2,202,0,0,0
2773,216.0,f,1,0.0,3,302,0,0,0
3301,216.0,g,1,0.0,3,302,0,0,0
3837,216.0,h,1,0.0,3,302,0,0,0
4455,216.0,i,1,0.0,4,401,0,0,0
4978,216.0,j,1,0.0,4,401,0,0,0
5545,216.0,k,1,0.0,4,401,0,0,0
92,217.0,a,1,0.0,1,102,1,0,0
422,217.0,b,1,0.0,1,102,1,0,0
996,217.0,c,1,0.0,2,201,1,0,0
1525,217.0,d,1,0.0,2,201,1,0,0
2050,217.0,e,1,0.0,2,201,1,0,0
2743,217.0,f,1,0.0,3,301,1,0,0
3309,217.0,g,1,0.0,3,301,1,0,0
3819,217.0,h,1,0.0,3,301,1,0,0
124,218.0,a,1,0.0,1,102,1,0,0
421,218.0,b,1,0.0,1,102,1,0,0
1000,218.0,c,1,0.0,2,201,1,0,0
1528,218.0,d,1,0.0,2,201,1,0,0
2054,218.0,e,1,0.0,2,201,1,0,0
2740,218.0,f,1,0.0,3,301,1,0,0
3312,218.0,g,0,0.0,3,301,1,0,0
3815,218.0,h,1,0.0,3,301,1,0,0
4457,218.0,i,1,0.0,4,401,1,0,0
4947,218.0,j,1,0.0,4,401,1,0,0
5543,218.0,k,1,0.0,4,401,1,0,0
125,219.0,a,1,0.0,1,102,0,0,0
420,219.0,b,1,0.0,1,102,0,0,0
1004,219.0,c,1,0.0,2,201,0,0,0
1532,219.0,d,1,0.0,2,201,0,0,0
2140,219.0,e,1,0.0,2,201,0,0,0
2736,219.0,f,1,0.0,3,301,0,0,0
3315,219.0,g,1,0.0,3,301,0,0,0
3811,219.0,h,1,0.0,3,301,0,0,0
4503,219.0,i,1,0.0,4,402,0,0,0
5015,219.0,j,1,0.0,4,402,0,0,0
128,220.0,a,1,0.0,1,102,1,0,0
419,220.0,b,1,0.0,1,102,1,0,0
1005,220.0,c,1,0.0,2,201,1,0,0
1533,220.0,d,1,0.0,2,201,1,0,0
2141,220.0,e,1,0.0,2,201,1,0,0
2734,220.0,f,1,0.0,3,301,1,0,0
3317,220.0,g,1,0.0,3,301,1,0,0
3818,220.0,h,1,0.0,3,301,1,0,0
4505,220.0,i,1,0.0,4,402,1,0,0
5013,220.0,j,1,0.0,4,402,1,0,0
5615,220.0,k,1,0.0,4,402,1,1,1
127,221.0,a,1,0.0,1,102,1,0,0
418,221.0,b,1,0.0,1,102,1,0,0
1031,221.0,c,1,0.0,2,202,1,0,0
1490,221.0,d,1,0.0,2,202,1,0,0
2071,221.0,e,1,0.0,2,202,1,0,0
2775,221.0,f,1,0.0,3,302,1,0,0
3230,221.0,g,1,0.0,3,302,1,0,0
3810,221.0,h,1,0.0,3,302,1,0,0
4472,221.0,i,1,0.0,4,401,0,0,0
4953,221.0,j,1,0.0,4,401,0,10,1
5537,221.0,k,1,0.0,4,401,0,0,0
129,222.0,a,1,0.0,1,102,1,0,0
417,222.0,b,1,0.0,1,102,1,0,0
1007,222.0,c,1,0.0,2,201,1,0,0
1535,222.0,d,1,0.0,2,201,1,0,0
2143,222.0,e,1,0.0,2,201,1,0,0
2764,222.0,f,1,0.0,3,302,1,0,0
3231,222.0,g,1,0.0,3,302,1,0,0
3809,222.0,h,1,0.0,3,302,1,0,0
4506,222.0,i,0,0.0,4,402,1,0,0
5012,222.0,j,1,0.0,4,402,1,0,0
5613,222.0,k,1,0.0,4,402,1,0,0
130,223.0,a,1,0.0,1,102,1,0,0
416,223.0,b,1,0.0,1,102,1,0,0
1033,223.0,c,1,0.0,2,202,1,0,0
1492,223.0,d,0,0.0,2,202,1,0,0
2069,223.0,e,1,0.0,2,202,1,0,0
2730,223.0,f,1,0.0,3,301,1,0,0
3322,223.0,g,1,0.0,3,301,1,0,0
3846,223.0,h,1,0.0,3,301,1,0,0
4511,223.0,i,1,0.0,4,402,1,0,0
5007,223.0,j,1,0.0,4,402,1,0,0
5608,223.0,k,1,0.0,4,402,1,0,0
131,224.0,a,1,0.0,1,102,0,0,0
415,224.0,b,1,0.0,1,102,0,0,0
1034,224.0,c,1,0.0,2,202,0,0,0
1493,224.0,d,1,0.0,2,202,0,0,0
2068,224.0,e,1,0.0,2,202,0,0,0
2758,224.0,f,1,0.0,3,302,0,0,0
3236,224.0,g,1,0.0,3,302,0,0,0
3802,224.0,h,1,0.0,3,302,0,0,0
4462,224.0,i,1,0.0,4,401,0,0,0
4956,224.0,j,1,0.0,4,401,0,0,0
5534,224.0,k,1,0.0,4,401,0,0,0
123,225.0,a,1,0.0,1,103,1,0,0
452,225.0,b,1,0.0,1,103,1,0,0
1041,225.0,c,1,0.0,2,203,1,0,0
1500,225.0,d,0,0.0,2,203,1,0,0
2022,225.0,e,1,0.0,2,203,1,0,0
2629,225.0,f,1,3.0,2,205,1,0,0
3140,225.0,g,1,2.0,2,205,1,0,0
3685,225.0,h,1,1.0,2,205,1,0,0
4362,225.0,i,0,0.0,3,303,1,0,0
4889,225.0,j,1,0.0,3,303,1,0,0
5426,225.0,k,1,0.0,3,303,1,0,0
6157,225.0,l,1,0.0,4,402,1,0,0
6684,225.0,m,1,0.0,4,402,1,0,0
7302,225.0,n,1,0.0,4,402,1,0,0
116,226.0,a,1,0.0,1,103,0,0,0
453,226.0,b,1,0.0,1,103,0,0,0
1049,226.0,c,1,0.0,2,205,0,0,0
1558,226.0,d,1,0.0,2,205,0,0,0
2128,226.0,e,1,0.0,2,205,0,0,0
2793,226.0,f,1,0.0,3,305,0,0,0
3289,226.0,g,1,0.0,3,305,0,0,0
3728,226.0,h,1,0.0,3,305,0,0,0
4447,226.0,i,1,0.0,4,403,0,0,0
4996,226.0,j,1,0.0,4,403,0,0,0
5648,226.0,k,1,0.0,4,403,0,0,0
117,227.0,a,1,0.0,1,103,1,0,0
476,227.0,b,1,0.0,1,103,1,0,0
849,227.0,c,1,3.0,1,104,1,100,1
1371,227.0,d,1,2.0,1,104,1,1100,1
1976,227.0,e,1,1.0,1,104,1,0,0
2566,227.0,f,1,0.0,2,203,1,0,0
3091,227.0,g,1,0.0,2,203,1,1000,1
3622,227.0,h,1,0.0,2,203,1,0,0
4272,227.0,i,1,0.0,3,305,1,0,0
4857,227.0,j,1,0.0,3,305,1,0,0
5394,227.0,k,1,0.0,3,305,1,0,0
6200,227.0,l,1,0.0,4,402,1,0,0
6704,227.0,m,1,0.0,4,402,1,0,0
7294,227.0,n,1,0.0,4,402,1,0,0
118,228.0,a,1,0.0,1,103,0,0,0
475,228.0,b,1,0.0,1,103,0,0,0
969,228.0,c,1,0.0,2,204,0,0,0
1591,228.0,d,1,0.0,2,204,0,0,0
2117,228.0,e,1,0.0,2,204,0,0,0
2680,228.0,f,1,0.0,3,334,0,0,0
3201,228.0,g,0,0.0,3,334,0,0,0
3794,228.0,h,1,0.0,3,334,0,0,0
119,229.0,a,1,0.0,1,103,1,0,0
474,229.0,b,1,0.0,1,103,1,0,0
1069,229.0,c,1,0.0,2,205,1,0,0
1561,229.0,d,1,0.0,2,205,1,0,0
2124,229.0,e,1,0.0,2,205,1,0,0
2724,229.0,f,1,0.0,3,303,1,0,0
3244,229.0,g,1,0.0,3,303,1,0,0
3764,229.0,h,1,0.0,3,303,1,0,0
4394,229.0,i,1,0.0,4,404,1,0,0
5041,229.0,j,1,0.0,4,404,1,0,0
5565,229.0,k,1,0.0,4,404,1,0,0
120,230.0,a,1,0.0,1,103,0,0,0
473,230.0,b,1,0.0,1,103,0,0,0
1070,230.0,c,1,0.0,2,205,0,0,0
1575,230.0,d,1,0.0,2,205,0,0,0
2123,230.0,e,1,0.0,2,205,0,10,1
2719,230.0,f,1,0.0,3,304,0,0,0
3213,230.0,g,1,0.0,3,304,0,0,0
3783,230.0,h,1,0.0,3,304,0,0,0
4421,230.0,i,1,0.0,4,405,0,0,0
5061,230.0,j,1,0.0,4,405,0,0,0
5585,230.0,k,1,0.0,4,405,0,0,0
121,231.0,a,1,0.0,1,103,0,0,0
472,231.0,b,1,0.0,1,103,0,0,0
1020,231.0,c,1,0.0,2,203,0,0,0
1509,231.0,d,1,0.0,2,203,0,0,0
2030,231.0,e,1,0.0,2,203,0,0,0
2561,231.0,f,1,3.0,2,204,0,0,0
3085,231.0,g,1,2.0,2,204,0,0,0
3707,231.0,h,1,1.0,2,204,0,0,0
4300,231.0,i,1,0.0,3,305,0,0,0
4885,231.0,j,1,0.0,3,305,0,0,0
5378,231.0,k,1,0.0,3,305,0,0,0
6131,231.0,l,1,0.0,4,404,0,0,0
6746,231.0,m,1,0.0,4,404,0,0,0
7280,231.0,n,1,0.0,4,404,0,0,0
122,232.0,a,1,0.0,1,103,1,0,0
471,232.0,b,1,0.0,1,103,1,0,0
971,232.0,c,1,0.0,2,204,1,0,0
1589,232.0,d,1,0.0,2,204,1,0,0
2115,232.0,e,1,0.0,2,204,1,0,0
2717,232.0,f,1,0.0,3,304,1,0,0
3215,232.0,g,1,0.0,3,304,1,0,0
3781,232.0,h,1,0.0,3,304,1,0,0
4402,232.0,i,1,0.0,4,404,1,0,0
5037,232.0,j,1,0.0,4,404,1,0,0
5561,232.0,k,1,0.0,4,404,1,0,0
89,233.0,a,1,0.0,1,103,1,0,0
470,233.0,b,0,0.0,1,103,1,0,0
972,233.0,c,1,0.0,2,204,1,0,0
1588,233.0,d,1,0.0,2,204,1,0,0
2114,233.0,e,1,0.0,2,204,1,0,0
2784,233.0,f,1,0.0,3,305,1,0,0
3271,233.0,g,1,0.0,3,305,1,0,0
3719,233.0,h,1,0.0,3,305,1,0,0
4418,233.0,i,1,0.0,4,405,1,0,0
5058,233.0,j,0,0.0,4,405,1,0,0
5582,233.0,k,1,0.0,4,405,1,0,0
87,234.0,a,0,0.0,1,103,0,0,0
469,234.0,b,0,0.0,1,103,0,0,0
7363,234.0,c,0,0.0,2,203,0,0,0
7364,234.0,d,0,0.0,2,203,0,0,0
7365,234.0,e,0,0.0,2,203,0,0,0
7366,234.0,f,0,0.0,3,303,0,0,0
7367,234.0,g,0,0.0,3,303,0,0,0
7368,234.0,h,0,0.0,3,303,0,0,0
4370,234.0,i,1,3.0,3,303,0,0,0
4810,234.0,j,1,2.0,3,303,0,0,0
86,235.0,a,1,0.0,1,103,0,0,0
468,235.0,b,1,0.0,1,103,0,0,0
1017,235.0,c,1,0.0,2,203,0,0,0
1506,235.0,d,1,0.0,2,203,0,0,0
2044,235.0,e,1,0.0,2,203,0,0,0
2711,235.0,f,1,0.0,3,303,0,0,0
3245,235.0,g,1,0.0,3,303,0,0,0
3763,235.0,h,1,0.0,3,303,0,0,0
4479,235.0,i,1,0.0,4,403,0,0,0
5029,235.0,j,1,0.0,4,403,0,0,0
5642,235.0,k,1,0.0,4,403,0,0,0
85,236.0,a,1,0.0,1,103,1,0,0
467,236.0,b,1,0.0,1,103,1,0,0
991,236.0,c,1,0.0,2,219,1,0,0
1550,236.0,d,1,0.0,2,219,1,0,0
2059,236.0,e,1,0.0,2,219,1,0,0
2626,236.0,f,1,3.0,2,249,1,0,0
3137,236.0,g,1,2.0,2,249,1,0,0
3688,236.0,h,1,1.0,2,249,1,0,0
4342,236.0,i,0,0.0,3,334,1,0,0
4825,236.0,j,1,0.0,3,334,1,0,0
5412,236.0,k,1,0.0,3,334,1,0,0
84,237.0,a,1,0.0,1,103,1,0,0
466,237.0,b,1,0.0,1,103,1,0,0
83,238.0,a,1,0.0,1,103,1,0,0
465,238.0,b,1,0.0,1,103,1,0,0
1083,238.0,c,1,0.0,2,205,1,0,0
1570,238.0,d,1,0.0,2,205,1,0,0
2087,238.0,e,1,0.0,2,205,1,0,0
2714,238.0,f,1,0.0,3,304,1,0,0
3218,238.0,g,1,0.0,3,304,1,0,0
3779,238.0,h,1,0.0,3,304,1,0,0
4441,238.0,i,1,0.0,4,403,1,0,0
5024,238.0,j,1,0.0,4,403,1,0,0
5637,238.0,k,1,0.0,4,403,1,0,0
82,239.0,a,1,0.0,1,103,1,0,0
464,239.0,b,1,0.0,1,103,1,0,0
833,239.0,c,1,3.0,1,105,1,0,0
1466,239.0,d,1,2.0,1,105,1,0,0
1966,239.0,e,1,1.0,1,105,1,0,0
2628,239.0,f,1,0.0,2,249,1,0,0
3061,239.0,g,1,0.0,2,249,1,0,0
3686,239.0,h,1,0.0,2,249,1,0,0
4317,239.0,i,1,0.0,3,334,1,0,0
4861,239.0,j,1,0.0,3,334,1,0,0
5434,239.0,k,1,0.0,3,334,1,0,0
6149,239.0,l,1,0.0,4,434,1,0,0
6718,239.0,m,1,0.0,4,434,1,0,0
7239,239.0,n,1,0.0,4,434,1,0,0
81,240.0,a,1,0.0,1,103,0,0,0
463,240.0,b,1,0.0,1,103,0,0,0
1011,240.0,c,1,0.0,2,203,0,0,0
1557,240.0,d,1,0.0,2,203,0,0,0
2046,240.0,e,1,0.0,2,203,0,0,0
105,241.0,a,1,0.0,1,103,1,0,0
462,241.0,b,1,0.0,1,103,1,0,0
1060,241.0,c,1,0.0,2,204,1,100,1
1612,241.0,d,1,0.0,2,204,1,0,0
2119,241.0,e,1,0.0,2,204,1,0,0
104,242.0,a,1,0.0,1,103,0,0,0
461,242.0,b,0,0.0,1,103,0,0,0
126,243.0,a,1,0.0,1,103,0,0,0
460,243.0,b,1,0.0,1,103,0,0,0
1073,243.0,c,1,0.0,2,205,0,0,0
1578,243.0,d,0,0.0,2,205,0,0,0
2097,243.0,e,1,0.0,2,205,0,0,0
2704,243.0,f,1,0.0,3,304,0,0,0
3275,243.0,g,1,0.0,3,304,0,0,0
3753,243.0,h,1,0.0,3,304,0,0,0
4430,243.0,i,1,0.0,4,404,0,0,0
5073,243.0,j,1,0.0,4,404,0,0,0
5597,243.0,k,1,0.0,4,404,0,0,0
103,244.0,a,1,0.0,1,103,0,0,0
459,244.0,b,1,0.0,1,103,0,0,0
976,244.0,c,1,0.0,2,203,0,0,0
1600,244.0,d,1,0.0,2,203,0,0,0
2037,244.0,e,1,0.0,2,203,0,0,0
2685,244.0,f,1,0.0,3,303,0,0,0
3196,244.0,g,1,0.0,3,303,0,0,0
3769,244.0,h,1,0.0,3,303,0,0,0
4435,244.0,i,1,0.0,4,403,0,0,0
